sn	院系	专业	面向对象	人数下限	人数上限	课程名称	课程性质	学分	周学时	起止周	上课时间一	上课时间二	上课时间三	上课时间四	上课时间五	任课教师	备注
0	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18	"3-5
4-403"	"8-10
4-405"				王雯	
1	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18	"8-10
4-403"	"3-5
4-405"				许丹云	
2	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18		"8-10
4-404"	"8-10
3-204"			许丹云	
3	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18			"3-5
3-204"	"1-3
4-302"		胡琨	
4	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18	"3-5
4-405"	"1-3
4-403"				罗琦	
5	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18			"3-5
1-104"		"1-3
4-202"	范琳琳	
6	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18			"8-10
1-104"	"8-10
4-305"		范琳琳	
7	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18			"8-10
4-403"		"3-5
4-304"	吴夏莉	
8	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"4-5
9-405"	"10-11
9-405"			kemo	
9	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"8-9
9-405"	"8-9
9-405"			kemo	
10	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"4-5
10-201"		"1-2
10-104"		亚瑟	
11	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"1-2
9-204"	"10-11
10-105"			Craig	
12	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"4-5
10-104"	"8-9
10-105"			Luca/Craig	
13	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"1-2
10-201"		"8-9
10-104"		亚瑟	
14	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18				"1-2
10-105"	"8-9
10-105"	王敏慧	
15	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"1-2
10-104"			"1-2
9-205"	Luca	
16	外国语言文学系	英语	16级英语	30	40	英语听力（II）	专业任选课	2	2	01-18			"2-3
2-203"			秦勇	
17	外国语言文学系	英语	16级英语	30	40	英语听力（II）	专业任选课	2	2	01-18			"4-5
2-203"			秦勇	
18	外国语言文学系	英语	16级英语	30	40	英语听力（II）	专业任选课	2	2	01-18				"8-9
2-303"		李坤梅	
19	外国语言文学系	英语	16级英语	30	40	英语听力（II）	专业任选课	2	2	01-18			"8-9
2-203"			孙涵	
20	外国语言文学系	英语	16级英语	30	40	英语听力（II）	专业任选课	2	2	01-18				"10-11
2-303"		李坤梅	
21	外国语言文学系	英语	16级英语	30	40	英语听力（II）	专业任选课	2	2	01-18			"10-11
2-203"			孙涵	
22	外国语言文学系	英语	16级英语	30	40	英语听力（II）	专业任选课	2	2	01-18			"4-5
2-304"			夏韵	
23	外国语言文学系	英语	16级英语	30	40	英语听力（II）	专业任选课	2	2	01-18				"4-5
2-304"		夏韵	
24	外国语言文学系	英语	16级英语	30	40	英语泛读（II）	专业任选课	2	2	01-18			"8-9
3-304"			张燕	
25	外国语言文学系	英语	16级英语	30	40	英语泛读（II）	专业任选课	2	2	01-18			"10-11
3-304"			张燕	
26	外国语言文学系	英语	16级英语	30	40	英语泛读（II）	专业任选课	2	2	01-18					"4-5
3-304"	张燕	
27	外国语言文学系	英语	16级英语	30	40	英语泛读（II）	专业任选课	2	2	01-18				"8-9
3-304"		张燕	
28	外国语言文学系	英语	16级英语	30	40	英语泛读（II）	专业任选课	2	2	01-18				"2-3
4-304"		熊锡源	
29	外国语言文学系	英语	16级英语	30	40	英语泛读（II）	专业任选课	2	2	01-18				"4-5
4-304"		熊锡源	
30	外国语言文学系	英语	16级英语	30	40	英语泛读（II）	专业任选课	2	2	01-18					"1-2
3-304"	张燕	
31	外国语言文学系	英语	16级英语	30	40	英语泛读（II）	专业任选课	2	2	01-18				"10-11
3-304"		张燕	
32	外国语言文学系	日语	16级日语	25	35	初级日语II	专业必修课	9	9	01-18			"1-3
3-403"	"8-10
4-402"	"3-5
4-402"	郭文佳	
33	外国语言文学系	日语	16级日语	25	35	初级日语II	专业必修课	9	9	01-18		"3-5
3-303"	"8-10
3-303"	"3-5
4-303"		殷帅	
34	外国语言文学系	日语	16级日语	25	35	初级日语会话II	专业必修课	2	2	01-18			"8-9
9-305"			桥本司	
35	外国语言文学系	日语	16级日语	25	35	初级日语会话II	专业必修课	2	2	01-18			"1-2
9-305"			桥本司	
36	外国语言文学系	日语	16级日语	25	35	初级日语听力II	专业任选课	2	2	01-18	"4-5
2-203"					丁舒晟	
37	外国语言文学系	日语	16级日语	25	35	初级日语听力II	专业任选课	2	2	01-18	"8-9
2-203"					丁舒晟	
38	外国语言文学系	日语	16级日语	25	35	日本文化概论	专业任选课	2	2	01-18				"12-13
4-402"		郭文佳	
39	外国语言文学系	日语	16级日语	25	35	二外英语II	专业任选课	2	2	01-18				"4-5
4-405"		孙涵	
40	外国语言文学系	日语	16级日语	25	35	二外英语II	专业任选课	2	2	01-18			"4-5
4-405"			孙涵	
41	外国语言文学系	法语	16级法语	30	45	基础法语（二）	专业必修课	9	9	01-18	"8-10
4-405"	"3-5
3-304"	"1-3
1-103"			钟天宝	
42	外国语言文学系	法语	16级法语	30	45	基础法语（二）	专业必修课	9	9	01-18	"3-5
3-403"	"1-3
3-403"	"8-10
3-403"			周小成	
43	外国语言文学系	法语	16级法语	30	45	法语日常会话（二）	专业必修课	2	2	01-18	"4-5
9-304"					亚瑟	
44	外国语言文学系	法语	16级法语	30	45	法语日常会话（二）	专业必修课	2	2	01-18	"8-9
9-304"					亚瑟	
45	外国语言文学系	法语	16级法语	30	45	法语听力（一）	专业必修课	2	2	01-18				"4-5
2-303"		黄云香	
46	外国语言文学系	法语	16级法语	30	45	法语听力（一）	专业必修课	2	2	01-18			"4-5
2-303"			黄云香	
47	外国语言文学系	法语	16级法语	30	45	二外英语（二）	专业任选课	2	2	01-18					"1-2
4-402"	孙涵	
48	外国语言文学系	法语	16级法语	30	45	二外英语（二）	专业任选课	2	2	01-18				"1-2
4-405"		孙涵	
49	外国语言文学系	汉语国际教育	16级汉语国际教育	25	35	现代汉语（二）	专业必修课	4	4	01-18	"10-11
4-404"		"1-2
3-404"			齐环玉	
50	外国语言文学系	汉语国际教育	16级汉语国际教育	25	35	现代汉语（二）	专业必修课	4	4	01-18	"8-9
4-404"		"4-5
3-404"			齐环玉	
51	外国语言文学系	汉语国际教育	16级汉语国际教育	25	35	中国现当代文学（二）	专业必修课	3	3	01-18		"12-14
3--303"				王亚鸽	
52	外国语言文学系	汉语国际教育	16级汉语国际教育	25	35	中国现当代文学（二）	专业必修课	3	3	01-18		"3-5
4-305"				王亚鸽	
53	外国语言文学系	汉语国际教育	16级汉语国际教育	25	35	大学英语精读（二）	专业必修课	4	4	01-18			"10-11
4-405"		"1-2
4-405"	李坤梅	
54	外国语言文学系	汉语国际教育	16级汉语国际教育	25	35	大学英语精读（二）	专业必修课	4	4	01-18			"8-9
4-405"		"4-5
4-405"	李坤梅	
55	外国语言文学系	汉语国际教育	16级汉语国际教育	25	35	大学英语口语（二）	专业任选课	4	4	01-18	"8-9
10-104"	"4-5
10-105"				罗琦	
56	外国语言文学系	汉语国际教育	16级汉语国际教育	25	35	大学英语口语（二）	专业任选课	4	4	01-18			"1-2
10-105"	"4-5
10-105"		王敏慧	
57	文学与传媒系	汉语言文学	16汉语言文学专业	86	110	中国现当代文学史（下）	专业必修课	3	3	1-18				"3-5
1-301"		宋石磊	4学时为课外实践
58	文学与传媒系	汉语言文学	16汉语言文学专业	80	110	中国现当代文学史（下）	专业必修课	3	3	1-18				"13-15
1-301"		宋石磊	4学时为课外实践
59	文学与传媒系	汉语言文学	16汉语言文学专业	86	110	文学原理（下）	专业必修课	2	2	1-18		"1-2
1-301"				方婉祯	4学时为课外实践
60	文学与传媒系	汉语言文学	16汉语言文学专业	80	110	文学原理（下）	专业必修课	2	2	1-18			"4-5
1-301"			方婉祯	4学时为课外实践
61	文学与传媒系	汉语言文学	16汉语言文学专业	86	110	现代汉语（下）	专业必修课	3	3	1-18					"3-5
1-302"	孟璐	4学时为课外实践
62	文学与传媒系	汉语言文学	16汉语言文学专业	80	110	现代汉语（下）	专业必修课	3	3	1-18					"8-10
1-302"	孟璐	4学时为课外实践
63	文学与传媒系	汉语言文学	16汉语言文学专业	86	110	中国古代文学史（二）	专业必修课	3	3	1-18	"1-3
1-302"					周秀梅	4学时为课外实践
64	文学与传媒系	汉语言文学	16汉语言文学专业	80	110	中国古代文学史（二）	专业必修课	3	3	1-18	"13-15
1-301"					周秀梅	4学时为课外实践
65	文学与传媒系	新闻学	16新闻学专业	71	71	中外新闻传播史	专业必修课	3	3	1-18	"1-3
1-103"					赵景	
66	文学与传媒系	新闻学	16新闻学专业	89	89	中外新闻传播史	专业必修课	3	3	1-18	"13-15
1-104"					赵景	
67	文学与传媒系	新闻学	16新闻学专业	71	71	新闻写作	专业必修课	2	3	1-12				"3-5
1-203"		陈珂	小班上课
68	文学与传媒系	新闻学	16新闻学专业	35	35	新闻写作	专业必修课	1	3	7-12				"3-5
1-201"		艾民伟	小班上课，6学时为课外实践 
69	文学与传媒系	新闻学	16新闻学专业	36	36	新闻写作	专业必修课	1	3	13-18				"3-5
1-201"		艾民伟	小班上课 ，6学时为课外实践 
70	文学与传媒系	新闻学	16新闻学专业	89	89	新闻写作	专业必修课	2	3	1-12					"3-5
1-203"	陈珂	小班上课 
71	文学与传媒系	新闻学	16新闻学专业	45	45	新闻写作	专业必修课	1	3	7-12					"3-5
1-104"	艾民伟	小班上课，6学时为课外实践 
72	文学与传媒系	新闻学	16新闻学专业	44	44	新闻写作	专业必修课	1	3	13-18					"3-5
1-104"	艾民伟	小班上课，6学时为课外实践 
73	文学与传媒系	新闻学	16新闻学专业	80	110	手绘艺术基础 	专业任选课	2	2	1-18		"8-9
1-301"				温灵	
74	文学与传媒系	新闻学	16新闻学专业	80	110	媒介文化透视	专业任选课	2	2	1-18				"8-9
1-202"		程悦	
75	文学与传媒系	网络与新媒体	16网络与新媒体专业	110	112	数字图像处理	专业必修课	3	3	1-18	"3-5
2实305"					杨正昱	4学时为课外实践
76	文学与传媒系	网络与新媒体	16网络与新媒体专业	110	112	Python语言	专业必修课	3	3	1-18			"12-14
3实308/3实312"			廖汉腾	4学时为课外实践
77	文学与传媒系	网络与新媒体	16网络与新媒体专业	110	112	手绘艺术基础 	专业任选课	2	2	1-18		"10-11
1-301"				温灵	4学时为课外实践
78	文学与传媒系	网络与新媒体	16网络与新媒体专业	110	112	媒介文化透视	专业任选课	2	2	1-18		"4-5
1-402"				杨萍	
79	商学院	工商管理	16工商管理专业	45	50	经济学原理	专业必修课	3	01-12（3节）            13-18（4节）      	1-18					"3-5          
2-5
8-305"	孙丽颖	
80	商学院	工商管理	16工商管理专业	45	50	经济学原理	专业必修课	3	01-12（3节）            13-18（4节）      	1-18				"8-10       
8-11
8-402"		孙丽颖	
81	商学院	工商管理	16工商管理专业	45	50	经济法	专业必修课	3	01-12（3节）            13-18（4节）      	1-18	"3-5          
2-5
8-305"					黄华灵	
82	商学院	工商管理	16工商管理专业	45	50	经济法	专业必修课	3	01-12（3节）            13-18（4节）      	1-18		"1-3          
1-4
8-404"				黄华灵	
83	商学院	市场营销	16市场营销专业	40	45	经济学原理	专业必修课	3	3	01-18					"8-10
8-305"	孙丽颖	
84	商学院	市场营销	16市场营销专业	40	45	经济学原理	专业必修课	3	3	01-18				"3-5
8-405"		孙丽颖	
85	商学院	市场营销	16市场营销专业	40	45	市场营销学	专业必修课	3	01-12（3节）            13-18（4节）      	1-18	"13-15         
12-15
8-402"					高凯	
86	商学院	市场营销	16市场营销专业	40	45	市场营销学	专业必修课	3	01-12（3节）            13-18（4节）      	1-18			"1-3          
1-4
8-305"			高凯	
